94102,94103,94104,94105,94107,94108,94109,94110,94111,94112,94114,94115,94116,94117,94118,94121,94122,94123,94124,94127,94128,94129,94130,94131,94132,94133,94134,94158,94188
"62,388","111,028","47,386","250,000+","176,788","68,768","108,691","152,115","164,107","120,731","184,671","149,927","145,931","190,444","157,143","132,519","141,760","211,854","76,341","200,082",-,"236,445","96,000","196,571","104,537","77,652","104,247","180,208",-
12.97,10.57,,,4.68,3.64,3.82,6.74,,4.48,3.08,5.45,2.5,3.65,1.92,2.71,2.81,,16.12,2.7,,,,1.95,3.95,5.06,7.5,,
